Date_and_Time;In_Motorcycle;In_Car;In_BusTruck;In_Total;In_PCE;In_Velocity;In_VCRatio;Out_Motorcycle;Out_Car;Out_BusTruck;Out_Total;Out_PCE;Out_Velocity;Out_VCRatio;Total_Motorcycle;Total_Car;Total_BusTruck;Total_Total;Total_PCE;Total_Velocity;Total_VCRatio
2023-02-27 06:00;2.281;490;75;2.846;1.158;22,2;0,16 ;1.020;550;50;1.620;870;32,7;0,12 ;3.301;1.040;125;4.466;2.028;27,6;0,14 
2023-02-27 07:00;2.410;396;53;2.859;1.067;27,4;0,15 ;2.401;884;57;3.342;1.558;29,6;0,22 ;4.811;1.280;110;6.201;2.626;28,7;0,18 
2023-02-27 08:00;2.434;320;50;2.804;994;22,2;0,14 ;2.860;1.103;66;4.029;1.904;27,5;0,27 ;5.294;1.423;116;6.833;2.897;25,2;0,20 
2023-02-27 09:00;5.508;659;89;6.256;2.152;23,7;0,30 ;2.328;1.018;70;3.416;1.691;29,9;0,24 ;7.836;1.677;159;9.672;3.843;27,2;0,27 
2023-02-27 10:00;4.394;751;109;5.254;1.991;17,0;0,28 ;1.877;998;78;2.953;1.569;28,9;0,22 ;6.271;1.749;187;8.207;3.560;24,1;0,25 
2023-02-27 11:00;3.932;831;102;4.865;1.947;19,0;0,27 ;1.884;1.095;61;3.040;1.645;28,0;0,23 ;5.816;1.926;163;7.905;3.592;24,3;0,25 
2023-02-27 12:00;2.199;503;36;2.738;1.100;23,1;0,15 ;1.786;1.062;46;2.894;1.568;29,0;0,22 ;3.985;1.565;82;5.632;2.668;26,4;0,19 
2023-02-27 13:00;2.194;633;85;2.912;1.292;21,1;0,18 ;1.715;1.146;54;2.915;1.645;28,7;0,23 ;3.909;1.779;139;5.827;2.937;25,3;0,21 
2023-02-27 14:00;2.118;538;40;2.696;1.120;24,4;0,16 ;1.842;1.106;58;3.006;1.642;28,8;0,23 ;3.960;1.644;98;5.702;2.761;26,9;0,19 
2023-02-27 15:00;3.809;975;119;4.903;2.082;23,9;0,29 ;1.910;1.121;74;3.105;1.695;27,7;0,24 ;5.719;2.096;193;8.008;3.777;26,1;0,27 
2023-02-27 16:00;1.484;227;18;1.729;621;21,0;0,09 ;2.567;1.146;115;3.828;1.937;24,6;0,27 ;4.051;1.373;133;5.557;2.559;23,3;0,18 
2023-02-27 17:00;2.181;337;27;2.545;917;22,1;0,13 ;3.051;1.196;77;4.324;2.059;22,4;0,29 ;5.232;1.533;104;6.869;2.976;22,3;0,21 
2023-02-27 18:00;2.917;454;37;3.408;1.231;22,7;0,17 ;2.688;1.080;65;3.833;1.837;25,4;0,26 ;5.605;1.534;102;7.241;3.068;24,0;0,22 
2023-02-27 19:00;3.047;395;23;3.465;1.187;21,5;0,17 ;2.147;896;63;3.106;1.515;28,1;0,21 ;5.194;1.291;86;6.571;2.701;24,8;0,19 
2023-02-27 20:00;2.796;393;37;3.226;1.140;21,9;0,16 ;1.491;658;37;2.186;1.079;31,1;0,15 ;4.287;1.051;74;5.412;2.219;26,5;0,16 
2023-02-27 21:00;3.058;424;18;3.500;1.212;21,9;0,17 ;1.227;645;41;1.913;1.005;29,8;0,14 ;4.285;1.069;59;5.413;2.217;25,8;0,16 
2023-02-27 22:00;3.303;404;12;3.719;1.245;21,8;0,18 ;992;493;22;1.507;770;33,4;0,11 ;4.295;897;34;5.226;2.015;27,7;0,14 
2023-02-27 23:00;3.394;361;23;3.778;1.239;19,6;0,17 ;694;360;17;1.071;556;35,8;0,08 ;4.088;721;40;4.849;1.795;27,6;0,13 
2023-02-28 00:00;2.893;322;12;3.227;1.061;21,3;0,15 ;360;234;12;606;340;38,1;0,05 ;3.253;556;24;3.833;1.400;30,0;0,10 
2023-02-28 01:00;3.398;939;98;4.435;1.916;20,0;0,27 ;230;313;28;571;407;36,9;0,06 ;3.628;1.252;126;5.006;2.323;28,2;0,16 
2023-02-28 02:00;2.018;474;43;2.535;1.034;14,2;0,15 ;76;104;5;185;130;35,0;0,02 ;2.094;578;48;2.720;1.164;23,9;0,08 
2023-02-28 03:00;782;241;25;1.048;469;22,1;0,07 ;121;163;7;291;202;32,6;0,03 ;903;404;32;1.339;671;27,2;0,05 
2023-02-28 04:00;528;211;27;766;378;28,2;0,05 ;134;149;14;297;201;37,0;0,03 ;662;360;41;1.063;579;32,5;0,04 
2023-02-28 05:00;1.373;278;43;1.694;677;26,9;0,10 ;368;191;33;592;326;37,5;0,05 ;1.741;469;76;2.286;1.003;32,3;0,07 
2023-02-28 06:00;3.768;738;88;4.594;1.794;21,6;0,25 ;1.207;498;72;1.777;893;36,8;0,13 ;4.975;1.236;160;6.371;2.688;29,4;0,19 
2023-02-28 07:00;4.159;573;110;4.842;1.756;22,7;0,25 ;2.580;902;71;3.553;1.639;29,2;0,23 ;6.739;1.475;181;8.395;3.395;26,2;0,24 
2023-02-28 08:00;3.444;647;102;4.193;1.641;22,3;0,23 ;3.080;1.086;101;4.267;1.987;29,7;0,28 ;6.524;1.733;203;8.460;3.628;26,3;0,26 
2023-02-28 09:00;4.684;899;136;5.719;2.247;22,8;0,32 ;2.182;947;59;3.188;1.569;31,3;0,22 ;6.866;1.846;195;8.907;3.816;27,1;0,27 
2023-02-28 10:00;2.103;384;52;2.539;977;26,3;0,14 ;2.060;1.099;63;3.222;1.696;27,5;0,24 ;4.163;1.483;115;5.761;2.673;27,0;0,19 
2023-02-28 11:00;2.749;688;57;3.494;1.449;25,3;0,20 ;1.828;1.092;49;2.969;1.613;27,7;0,23 ;4.577;1.780;106;6.463;3.062;26,6;0,22 
2023-02-28 12:00;1.603;409;13;2.025;827;24,9;0,12 ;1.832;1.128;59;3.019;1.663;29,0;0,23 ;3.435;1.537;72;5.044;2.489;27,0;0,18 
2023-02-28 13:00;2.234;628;87;2.949;1.300;21,0;0,18 ;1.841;1.116;54;3.011;1.646;27,3;0,23 ;4.075;1.744;141;5.960;2.946;24,3;0,21 
2023-02-28 14:00;4.304;1.288;170;5.762;2.585;19,3;0,36 ;1.783;1.269;92;3.144;1.834;18,3;0,26 ;6.087;2.557;262;8.906;4.419;18,8;0,31 
2023-02-28 15:00;1.181;285;18;1.484;604;21,9;0,08 ;1.922;965;73;2.960;1.540;24,6;0,22 ;3.103;1.250;91;4.444;2.144;23,8;0,15 
2023-02-28 16:00;2.011;301;76;2.388;903;23,0;0,13 ;2.765;1.001;101;3.867;1.824;22,9;0,26 ;4.776;1.302;177;6.255;2.726;23,0;0,19 
2023-02-28 17:00;2.871;392;35;3.298;1.155;23,6;0,16 ;3.212;991;60;4.263;1.872;25,4;0,26 ;6.083;1.383;95;7.561;3.027;24,5;0,21 
2023-02-28 18:00;2.760;542;21;3.323;1.259;23,5;0,18 ;2.189;763;62;3.014;1.391;19,1;0,20 ;4.949;1.305;83;6.337;2.650;21,2;0,19 
2023-02-28 19:00;2.548;562;41;3.151;1.252;22,3;0,18 ;2.376;761;44;3.181;1.412;29,2;0,20 ;4.924;1.323;85;6.332;2.665;25,9;0,19 
2023-02-28 20:00;2.435;614;53;3.102;1.292;20,6;0,18 ;1.838;693;54;2.585;1.223;30,7;0,17 ;4.273;1.307;107;5.687;2.514;25,7;0,18 
2023-02-28 21:00;2.979;705;30;3.714;1.489;22,8;0,21 ;1.462;750;41;2.253;1.169;29,5;0,16 ;4.441;1.455;71;5.967;2.658;26,2;0,19 
2023-02-28 22:00;3.400;751;29;4.180;1.639;25,2;0,23 ;1.109;627;20;1.756;930;32,6;0,13 ;4.509;1.378;49;5.936;2.569;29,0;0,18 
2023-02-28 23:00;2.399;585;46;3.030;1.245;26,6;0,18 ;684;429;17;1.130;622;35,2;0,09 ;3.083;1.014;63;4.160;1.867;30,9;0,13 
2023-03-01 00:00;2.543;832;44;3.419;1.525;28,5;0,21 ;435;246;16;697;376;38,3;0,05 ;2.978;1.078;60;4.116;1.901;33,4;0,13 
2023-03-01 01:00;3.523;595;53;4.171;1.545;23,0;0,22 ;291;199;11;501;286;38,3;0,04 ;3.814;794;64;4.672;1.831;30,7;0,13 
2023-03-01 02:00;3.145;341;40;3.526;1.179;20,5;0,17 ;197;117;10;324;179;40,0;0,03 ;3.342;458;50;3.850;1.359;30,2;0,10 
2023-03-01 03:00;2.711;472;68;3.251;1.238;17,7;0,17 ;126;158;13;297;206;40,4;0,03 ;2.837;630;81;3.548;1.445;29,1;0,10 
2023-03-01 04:00;2.944;468;99;3.511;1.333;21,4;0,19 ;136;117;14;267;169;41,7;0,02 ;3.080;585;113;3.778;1.502;31,3;0,11 
2023-03-01 05:00;5.358;608;86;6.052;2.059;22,6;0,29 ;433;213;39;685;372;40,7;0,05 ;5.791;821;125;6.737;2.431;31,6;0,17 
2023-03-01 06:00;6.447;874;145;7.466;2.674;22,6;0,38 ;1.445;554;60;2.059;993;35,2;0,14 ;7.892;1.428;205;9.525;3.668;28,9;0,26 
2023-03-01 07:00;8.227;915;152;9.294;3.169;20,7;0,45 ;2.690;962;73;3.725;1.729;30,2;0,24 ;10.917;1.877;225;13.019;4.899;25,5;0,34 
2023-03-01 08:00;7.098;1.253;238;8.589;3.337;23,2;0,47 ;2.715;1.217;105;4.037;2.032;29,8;0,29 ;9.813;2.470;343;12.626;5.369;26,6;0,38 
2023-03-01 09:00;3.609;621;73;4.303;1.618;24,0;0,23 ;2.094;919;65;3.078;1.527;29,8;0,21 ;5.703;1.540;138;7.381;3.145;27,1;0,22 
2023-03-01 10:00;5.284;1.143;203;6.630;2.728;21,2;0,38 ;1.805;1.066;82;2.953;1.624;27,5;0,23 ;7.089;2.209;285;9.583;4.352;24,6;0,31 
2023-03-01 11:00;2.792;592;58;3.442;1.365;27,3;0,19 ;1.699;1.143;58;2.900;1.643;29,6;0,23 ;4.491;1.735;116;6.342;3.009;28,6;0,21 
2023-03-01 12:00;1.836;378;42;2.256;892;23,9;0,13 ;1.760;1.150;58;2.968;1.665;28,9;0,23 ;3.596;1.528;100;5.224;2.557;26,8;0,18 
2023-03-01 13:00;2.258;553;41;2.852;1.171;17,0;0,16 ;1.509;1.110;67;2.686;1.574;24,1;0,22 ;3.767;1.663;108;5.538;2.745;21,1;0,19 
2023-03-01 14:00;1.454;437;29;1.920;838;17,4;0,12 ;1.612;1.015;54;2.681;1.488;21,6;0,21 ;3.066;1.452;83;4.601;2.326;20,1;0,16 
2023-03-01 15:00;1.397;348;43;1.788;753;22,0;0,11 ;1.930;1.033;67;3.030;1.603;25,3;0,23 ;3.327;1.381;110;4.818;2.356;24,0;0,17 
2023-03-01 16:00;1.365;269;37;1.671;658;20,1;0,09 ;2.656;1.040;106;3.802;1.842;25,5;0,26 ;4.021;1.309;143;5.473;2.500;23,4;0,18 
2023-03-01 17:00;2.400;364;26;2.790;998;22,1;0,14 ;3.292;1.070;80;4.442;1.997;23,5;0,28 ;5.692;1.434;106;7.232;2.995;22,9;0,21 
2023-03-01 18:00;1.799;420;38;2.257;919;17,9;0,13 ;2.748;951;63;3.762;1.720;25,5;0,24 ;4.547;1.371;101;6.019;2.639;21,9;0,19 
2023-03-01 19:00;1.543;245;29;1.817;668;22,1;0,09 ;2.229;830;51;3.110;1.454;27,7;0,20 ;3.772;1.075;80;4.927;2.122;25,3;0,15 
2023-03-01 20:00;1.957;426;32;2.415;957;22,9;0,13 ;1.706;671;46;2.423;1.157;29,5;0,16 ;3.663;1.097;78;4.838;2.114;26,3;0,15 
2023-03-01 21:00;2.589;504;39;3.132;1.202;22,6;0,17 ;1.455;675;52;2.182;1.106;29,1;0,16 ;4.044;1.179;91;5.314;2.308;25,9;0,16 
2023-03-01 22:00;2.754;690;26;3.470;1.412;23,9;0,20 ;1.074;565;30;1.669;873;31,1;0,12 ;3.828;1.255;56;5.139;2.285;27,5;0,16 
2023-03-01 23:00;3.181;501;60;3.742;1.374;21,1;0,19 ;642;368;19;1.029;553;34,7;0,08 ;3.823;869;79;4.771;1.927;28,0;0,14 
2023-03-02 00:00;4.650;840;61;5.551;2.082;20,1;0,29 ;414;297;13;724;417;36,7;0,06 ;5.064;1.137;74;6.275;2.499;28,4;0,18 
2023-03-02 01:00;4.783;654;32;5.469;1.891;16,5;0,27 ;248;169;8;425;241;40,4;0,03 ;5.031;823;40;5.894;2.133;28,4;0,15 
2023-03-02 02:00;4.939;716;104;5.759;2.086;14,7;0,29 ;174;124;12;310;183;38,3;0,03 ;5.113;840;116;6.069;2.269;26,1;0,16 
2023-03-02 03:00;5.844;512;79;6.435;2.076;13,2;0,29 ;103;149;4;256;180;37,8;0,03 ;5.947;661;83;6.691;2.256;25,0;0,16 
2023-03-02 04:00;1.694;393;44;2.131;874;23,7;0,12 ;112;163;12;287;207;34,2;0,03 ;1.806;556;56;2.418;1.080;28,9;0,08 
2023-03-02 05:00;2.496;524;95;3.115;1.272;14,7;0,18 ;328;300;49;677;446;33,2;0,06 ;2.824;824;144;3.792;1.717;24,1;0,12 
2023-03-02 06:00;3.128;648;144;3.920;1.617;16,5;0,23 ;1.039;560;62;1.661;900;30,4;0,13 ;4.167;1.208;206;5.581;2.518;23,5;0,18 
2023-03-02 07:00;2.808;540;143;3.491;1.428;21,3;0,20 ;2.411;911;73;3.395;1.609;26,7;0,23 ;5.219;1.451;216;6.886;3.037;24,0;0,21 
2023-03-02 08:00;2.861;408;87;3.356;1.236;24,6;0,17 ;2.865;1.124;70;4.059;1.931;27,1;0,27 ;5.726;1.532;157;7.415;3.168;25,9;0,22 
2023-03-02 09:00;2.034;504;87;2.625;1.126;23,3;0,16 ;2.236;1.011;67;3.314;1.657;27,6;0,23 ;4.270;1.515;154;5.939;2.783;25,6;0,20 
2023-03-02 10:00;2.018;595;42;2.655;1.154;22,3;0,16 ;2.080;1.145;68;3.293;1.753;24,2;0,25 ;4.098;1.740;110;5.948;2.908;23,3;0,20 
2023-03-02 11:00;1.676;482;53;2.211;970;24,1;0,14 ;1.956;1.047;69;3.072;1.626;25,8;0,23 ;3.632;1.529;122;5.283;2.596;25,1;0,18 
2023-03-02 12:00;2.266;533;78;2.877;1.201;22,8;0,17 ;1.558;1.086;52;2.696;1.543;28,1;0,22 ;3.824;1.619;130;5.573;2.744;25,5;0,19 
2023-03-02 13:00;2.476;853;71;3.400;1.564;18,1;0,22 ;1.822;1.065;75;2.962;1.618;27,2;0,23 ;4.298;1.918;146;6.362;3.182;22,8;0,22 
2023-03-02 14:00;2.081;459;47;2.587;1.040;22,4;0,15 ;1.704;1.027;61;2.792;1.532;27,3;0,22 ;3.785;1.486;108;5.379;2.573;25,1;0,18 
2023-03-02 15:00;2.052;485;60;2.597;1.076;22,1;0,15 ;1.967;1.057;66;3.090;1.635;27,9;0,23 ;4.019;1.542;126;5.687;2.711;25,3;0,19 
2023-03-02 16:00;2.452;453;72;2.977;1.160;20,2;0,16 ;2.728;1.029;89;3.846;1.827;27,0;0,26 ;5.180;1.482;161;6.823;2.986;24,1;0,21 
2023-03-02 17:00;3.173;534;80;3.787;1.431;21,4;0,20 ;2.936;1.168;97;4.201;2.028;20,8;0,29 ;6.109;1.702;177;7.988;3.459;21,0;0,24 
2023-03-02 18:00;3.733;637;50;4.420;1.635;21,7;0,23 ;2.655;986;93;3.734;1.771;24,7;0,25 ;6.388;1.623;143;8.154;3.406;23,3;0,24 
2023-03-02 19:00;4.035;713;60;4.808;1.800;21,7;0,25 ;2.295;856;57;3.208;1.504;27,9;0,21 ;6.330;1.569;117;8.016;3.304;24,8;0,23 
2023-03-02 20:00;3.371;667;47;4.085;1.571;17,4;0,22 ;1.770;908;43;2.721;1.406;28,4;0,20 ;5.141;1.575;90;6.806;2.977;23,0;0,21 
2023-03-02 21:00;3.270;682;34;3.986;1.544;19,4;0,22 ;1.383;773;47;2.203;1.180;28,9;0,17 ;4.653;1.455;81;6.189;2.724;24,2;0,19 
2023-03-02 22:00;3.372;740;34;4.146;1.627;21,6;0,23 ;1.007;574;26;1.607;860;33,4;0,12 ;4.379;1.314;60;5.753;2.487;27,5;0,18 
2023-03-02 23:00;2.635;588;32;3.255;1.288;22,7;0,18 ;625;437;25;1.087;626;35,3;0,09 ;3.260;1.025;57;4.342;1.914;29,0;0,13 
2023-03-03 00:00;2.659;556;43;3.258;1.277;23,4;0,18 ;498;305;15;818;449;38,1;0,06 ;3.157;861;58;4.076;1.726;30,8;0,12 
2023-03-03 01:00;2.539;447;28;3.014;1.118;21,0;0,16 ;290;211;13;514;300;40,4;0,04 ;2.829;658;41;3.528;1.419;30,7;0,10 
2023-03-03 02:00;2.063;483;10;2.556;1.012;21,5;0,14 ;160;158;9;327;210;41,1;0,03 ;2.223;641;19;2.883;1.221;31,3;0,09 
2023-03-03 03:00;1.791;375;20;2.186;849;23,9;0,12 ;102;132;4;238;163;39,9;0,02 ;1.893;507;24;2.424;1.011;31,7;0,07 
2023-03-03 04:00;2.249;444;68;2.761;1.095;23,0;0,15 ;142;166;6;314;209;40,4;0,03 ;2.391;610;74;3.075;1.304;31,3;0,09 
2023-03-03 05:00;2.599;502;74;3.175;1.248;27,1;0,18 ;348;213;53;614;369;41,3;0,05 ;2.947;715;127;3.789;1.617;34,1;0,11 
2023-03-03 06:00;3.773;802;97;4.672;1.871;23,5;0,26 ;1.324;545;65;1.934;961;34,8;0,14 ;5.097;1.347;162;6.606;2.832;29,1;0,20 
2023-03-03 07:00;6.441;764;156;7.361;2.577;21,9;0,36 ;2.538;1.012;71;3.621;1.739;29,7;0,24 ;8.979;1.776;227;10.982;4.316;25,9;0,30 
2023-03-03 08:00;6.523;1.070;131;7.724;2.871;22,1;0,40 ;2.789;1.205;76;4.070;2.001;30,1;0,28 ;9.312;2.275;207;11.794;4.872;26,3;0,34 
2023-03-03 09:00;4.307;786;106;5.199;2.001;25,7;0,28 ;2.120;975;72;3.167;1.599;30,3;0,23 ;6.427;1.761;178;8.366;3.599;28,1;0,25 
2023-03-03 10:00;1.836;504;44;2.384;1.020;25,4;0,14 ;1.929;1.097;69;3.095;1.669;28,1;0,23 ;3.765;1.601;113;5.479;2.689;26,8;0,19 
2023-03-03 11:00;1.548;499;37;2.084;934;27,0;0,13 ;1.827;1.192;49;3.068;1.712;28,8;0,24 ;3.375;1.691;86;5.152;2.647;28,0;0,19 
2023-03-03 12:00;1.250;441;42;1.733;808;27,5;0,11 ;1.484;1.081;43;2.608;1.508;30,1;0,21 ;2.734;1.522;85;4.341;2.316;28,9;0,16 
2023-03-03 13:00;1.576;531;47;2.154;986;24,1;0,14 ;1.996;1.115;59;3.170;1.691;28,2;0,24 ;3.572;1.646;106;5.324;2.677;26,3;0,19 
2023-03-03 14:00;2.238;748;46;3.032;1.367;18,8;0,19 ;1.740;1.141;62;2.943;1.657;26,5;0,23 ;3.978;1.889;108;5.975;3.024;22,9;0,21 
2023-03-03 15:00;5.520;1.035;139;6.694;2.596;23,3;0,37 ;1.961;1.027;89;3.077;1.633;28,7;0,23 ;7.481;2.062;228;9.771;4.229;26,1;0,30 
2023-03-03 16:00;1.543;470;76;2.089;955;22,1;0,13 ;2.470;1.104;104;3.678;1.857;28,1;0,26 ;4.013;1.574;180;5.767;2.811;25,7;0,20 
2023-03-03 17:00;4.473;1.038;101;5.612;2.288;20,2;0,32 ;3.026;1.159;133;4.318;2.088;18,7;0,29 ;7.499;2.197;234;9.930;4.376;19,4;0,31 
2023-03-03 18:00;5.068;1.154;172;6.394;2.645;21,9;0,37 ;2.606;806;46;3.458;1.517;23,9;0,21 ;7.674;1.960;218;9.852;4.162;22,9;0,29 
2023-03-03 19:00;3.604;861;89;4.554;1.878;19,8;0,26 ;2.189;830;68;3.087;1.466;24,0;0,21 ;5.793;1.691;157;7.641;3.343;22,3;0,24 
2023-03-03 20:00;1.031;303;30;1.364;600;14,5;0,08 ;2.121;799;49;2.969;1.393;26,3;0,20 ;3.152;1.102;79;4.333;1.993;23,0;0,14 
2023-03-03 21:00;2.793;814;46;3.653;1.572;22,5;0,22 ;1.569;811;45;2.425;1.262;27,1;0,18 ;4.362;1.625;91;6.078;2.834;25,1;0,20 
2023-03-03 22:00;3.186;844;65;4.095;1.725;20,6;0,24 ;1.374;623;31;2.028;1.007;30,9;0,14 ;4.560;1.467;96;6.123;2.732;26,0;0,19 
2023-03-03 23:00;2.278;710;49;3.037;1.343;18,8;0,19 ;1.064;543;32;1.639;851;32,1;0,12 ;3.342;1.253;81;4.676;2.194;25,5;0,15 
2023-03-04 00:00;1.776;687;91;2.554;1.249;20,7;0,18 ;759;414;21;1.194;631;35,1;0,09 ;2.535;1.101;112;3.748;1.880;28,0;0,13 
2023-03-04 01:00;1.115;520;50;1.685;864;21,7;0,12 ;601;282;14;897;450;37,5;0,06 ;1.716;802;64;2.582;1.314;29,6;0,09 
2023-03-04 02:00;899;435;52;1.386;727;28,0;0,10 ;332;193;14;539;294;38,3;0,04 ;1.231;628;66;1.925;1.022;33,4;0,07 
2023-03-04 03:00;834;440;44;1.318;706;30,7;0,10 ;181;214;20;415;285;38,5;0,04 ;1.015;654;64;1.733;991;34,7;0,07 
2023-03-04 04:00;777;533;60;1.370;805;33,4;0,11 ;194;218;21;433;294;37,8;0,04 ;971;751;81;1.803;1.099;35,7;0,08 
2023-03-04 05:00;1.058;528;112;1.698;938;33,5;0,13 ;410;219;34;663;366;39,5;0,05 ;1.468;747;146;2.361;1.304;36,6;0,09 
2023-03-04 06:00;2.549;718;109;3.376;1.497;28,4;0,21 ;714;319;39;1.072;548;38,2;0,08 ;3.263;1.037;148;4.448;2.045;33,3;0,14 
2023-03-04 07:00;5.438;1.142;176;6.756;2.730;20,4;0,38 ;1.042;406;52;1.500;734;35,8;0,10 ;6.480;1.548;228;8.256;3.464;28,2;0,24 
2023-03-04 08:00;3.976;1.193;283;5.452;2.555;23,6;0,36 ;1.200;564;70;1.834;955;33,8;0,13 ;5.176;1.757;353;7.286;3.510;28,7;0,25 
2023-03-04 09:00;2.234;610;79;2.923;1.271;30,2;0,18 ;1.244;717;67;2.028;1.115;31,3;0,16 ;3.478;1.327;146;4.951;2.386;30,7;0,17 
2023-03-04 10:00;1.145;423;50;1.618;774;29,8;0,11 ;1.387;801;59;2.247;1.224;31,7;0,17 ;2.532;1.224;109;3.865;1.999;30,7;0,14 
2023-03-04 11:00;1.233;413;62;1.708;802;28,5;0,11 ;1.497;955;83;2.535;1.437;28,0;0,20 ;2.730;1.368;145;4.243;2.239;28,2;0,16 
2023-03-04 12:00;1.277;402;43;1.722;777;28,6;0,11 ;1.605;1.050;84;2.739;1.560;27,2;0,22 ;2.882;1.452;127;4.461;2.338;27,9;0,16 
2023-03-04 13:00;1.359;472;85;1.916;922;26,9;0,13 ;1.578;1.009;76;2.663;1.502;28,1;0,21 ;2.937;1.481;161;4.579;2.425;27,5;0,17 
2023-03-04 14:00;3.475;1.106;131;4.712;2.145;23,2;0,30 ;1.404;1.097;57;2.558;1.522;25,4;0,21 ;4.879;2.203;188;7.270;3.667;24,3;0,26 
2023-03-04 15:00;3.709;1.389;159;5.257;2.523;24,1;0,36 ;1.691;1.002;64;2.757;1.508;27,3;0,21 ;5.400;2.391;223;8.014;4.031;25,8;0,28 
2023-03-04 16:00;3.742;1.378;280;5.400;2.678;17,3;0,38 ;1.898;1.061;91;3.050;1.654;26,9;0,23 ;5.640;2.439;371;8.450;4.331;22,2;0,30 
2023-03-04 17:00;4.625;1.356;308;6.289;2.913;15,9;0,41 ;1.770;944;74;2.788;1.483;26,9;0,21 ;6.395;2.300;382;9.077;4.395;21,4;0,31 
2023-03-04 18:00;4.208;1.093;285;5.586;2.516;17,0;0,35 ;1.609;864;73;2.546;1.361;25,0;0,19 ;5.817;1.957;358;8.132;3.877;21,1;0,27 
2023-03-04 19:00;4.083;974;90;5.147;2.112;21,9;0,30 ;1.770;942;66;2.778;1.470;24,8;0,21 ;5.853;1.916;156;7.925;3.582;23,4;0,25 
2023-03-04 20:00;4.466;930;69;5.465;2.136;22,9;0,30 ;1.825;854;61;2.740;1.390;25,4;0,20 ;6.291;1.784;130;8.205;3.526;24,2;0,25 
2023-03-04 21:00;5.430;1.141;102;6.673;2.631;20,3;0,37 ;1.782;746;52;2.580;1.259;28,1;0,18 ;7.212;1.887;154;9.253;3.890;24,3;0,27 
2023-03-04 22:00;2.893;954;244;4.091;1.994;15,0;0,28 ;1.714;735;45;2.494;1.222;29,0;0,17 ;4.607;1.689;289;6.585;3.216;22,6;0,23 
2023-03-04 23:00;5.717;894;121;6.732;2.481;22,4;0,35 ;1.464;602;30;2.096;1.007;31,3;0,14 ;7.181;1.496;151;8.828;3.488;26,9;0,25 
2023-03-05 00:00;6.604;1.073;327;8.004;3.149;15,1;0,44 ;1.446;460;30;1.936;861;36,2;0,12 ;8.050;1.533;357;9.940;4.010;25,6;0,28 
2023-03-05 01:00;5.812;1.427;301;7.540;3.271;23,1;0,46 ;1.029;310;21;1.360;595;37,0;0,08 ;6.841;1.737;322;8.900;3.866;30,0;0,27 
2023-03-05 02:00;4.723;924;116;5.763;2.256;29,2;0,32 ;711;181;19;911;383;39,9;0,05 ;5.434;1.105;135;6.674;2.639;34,6;0,19 
2023-03-05 03:00;3.557;1.040;25;4.622;1.962;31,1;0,28 ;366;240;7;613;341;41,5;0,05 ;3.923;1.280;32;5.235;2.302;36,5;0,16 
2023-03-05 04:00;2.991;1.211;96;4.298;2.084;32,9;0,29 ;272;218;9;499;298;38,4;0,04 ;3.263;1.429;105;4.797;2.381;35,7;0,17 
2023-03-05 05:00;2.551;1.250;158;3.959;2.093;30,2;0,29 ;509;196;27;732;358;36,9;0,05 ;3.060;1.446;185;4.691;2.452;33,8;0,17 
2023-03-05 06:00;;;;;;;;;;;;;;;;;;;;;
2023-03-05 07:00;;;;;;;;;;;;;;;;;;;;;
2023-03-05 08:00;;;;;;;;;;;;;;;;;;;;;
2023-03-05 09:00;;;;;;;;;;;;;;;;;;;;;
2023-03-05 10:00;1.558;784;152;2.494;1.371;19,2;0,19 ;894;620;48;1.562;906;29,6;0,13 ;2.452;1.404;200;4.056;2.277;24,4;0,16 
2023-03-05 11:00;2.275;903;124;3.302;1.633;20,4;0,23 ;1.009;861;66;1.936;1.199;27,3;0,17 ;3.284;1.764;190;5.238;2.832;23,9;0,20 
2023-03-05 12:00;3.224;1.215;191;4.630;2.269;16,9;0,32 ;1.063;1.008;66;2.137;1.360;26,6;0,19 ;4.287;2.223;257;6.767;3.629;21,7;0,26 
2023-03-05 13:00;2.473;1.016;132;3.621;1.806;20,0;0,25 ;1.137;934;76;2.147;1.317;28,5;0,19 ;3.610;1.950;208;5.768;3.123;24,3;0,22 
2023-03-05 14:00;2.611;925;121;3.657;1.735;18,8;0,24 ;1.131;803;57;1.991;1.160;29,7;0,16 ;3.742;1.728;178;5.648;2.895;24,4;0,20 
2023-03-05 15:00;1.436;602;48;2.086;1.023;24,5;0,14 ;1.123;897;71;2.091;1.270;29,1;0,18 ;2.559;1.499;119;4.177;2.293;26,8;0,16 
2023-03-05 16:00;1.689;689;91;2.469;1.230;22,0;0,17 ;1.291;920;60;2.271;1.321;28,0;0,19 ;2.980;1.609;151;4.740;2.550;25,1;0,18 
2023-03-05 17:00;3.024;1.395;181;4.600;2.386;20,0;0,34 ;1.368;858;83;2.309;1.308;27,9;0,18 ;4.392;2.253;264;6.909;3.694;24,2;0,26 
2023-03-05 18:00;3.963;1.672;211;5.846;2.937;20,3;0,41 ;1.290;918;45;2.253;1.299;27,1;0,18 ;5.253;2.590;256;8.099;4.236;23,8;0,30 
2023-03-05 19:00;5.144;1.724;197;7.065;3.266;24,4;0,46 ;1.340;782;64;2.186;1.200;28,5;0,17 ;6.484;2.506;261;9.251;4.466;26,5;0,31 
2023-03-05 20:00;4.287;1.042;98;5.427;2.241;26,0;0,32 ;1.244;696;59;1.999;1.084;29,2;0,15 ;5.531;1.738;157;7.426;3.325;27,6;0,23 
